# t [t_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
5.08938e+03	2.07905e-02	1.06402e-03	4.31393	2.75317	4.53990e-05
5.10941e+03	2.07904e-02	1.11195e-03	4.27919	5.81426	4.53990e-05
5.12945e+03	2.07881e-02	1.18935e-03	2.60257	3.22137	4.53990e-05
5.14949e+03	2.07966e-02	1.14806e-03	5.26231	1.54772	4.53990e-05
5.16952e+03	2.07899e-02	1.10249e-03	5.06964	1.68124	4.53990e-05
5.18956e+03	2.07873e-02	1.08361e-03	3.08797	2.59840	4.53990e-05
5.20960e+03	2.07941e-02	1.24355e-03	5.19307	4.55161	4.53990e-05
5.22963e+03	2.07932e-02	1.17724e-03	4.70715	1.73406	4.53990e-05
5.24967e+03	2.07926e-02	1.23507e-03	1.06976	0.97846	4.53990e-05
5.26971e+03	2.07842e-02	1.16539e-03	2.61794	0.22794	4.53990e-05
5.28975e+03	2.07910e-02	1.25746e-03	0.61063	1.92460	4.53990e-05
5.30978e+03	2.07844e-02	1.13501e-03	3.24456	4.18199	4.53990e-05
5.32982e+03	2.07847e-02	1.12481e-03	2.74673	2.11103	4.53990e-05
5.34986e+03	2.07874e-02	1.17827e-03	6.03616	1.39642	4.53990e-05
5.36989e+03	2.07871e-02	1.10190e-03	0.69110	1.88169	4.53990e-05
5.38993e+03	2.07827e-02	1.10923e-03	4.59623	4.55860	4.53990e-05
5.40997e+03	2.07852e-02	1.14798e-03	6.00352	2.22687	4.53990e-05
5.43000e+03	2.07807e-02	1.06438e-03	4.57433	1.58454	4.53990e-05
5.45004e+03	2.07841e-02	1.17511e-03	0.45963	2.39042	4.53990e-05
5.47008e+03	2.07818e-02	1.11317e-03	5.25250	5.64282	4.53990e-05
5.49011e+03	2.07862e-02	1.16819e-03	1.10942	4.08895	4.53990e-05
5.51015e+03	2.07840e-02	1.19587e-03	0.25068	4.26429	4.53990e-05
5.53019e+03	2.07772e-02	1.14119e-03	2.98495	5.92562	4.53990e-05
5.55022e+03	2.07834e-02	1.14300e-03	1.73011	4.00305	4.53990e-05
5.57026e+03	2.07833e-02	1.11058e-03	4.76287	2.81690	4.53990e-05
5.59030e+03	2.07769e-02	9.70171e-04	3.48414	4.71034	4.53990e-05
5.61034e+03	2.07777e-02	1.08184e-03	5.34575	2.14236	4.53990e-05
5.63037e+03	2.07801e-02	1.04189e-03	4.35870	1.17146	4.53990e-05
5.65041e+03	2.07806e-02	1.23513e-03	5.77759	2.73700	4.53990e-05
5.67045e+03	2.07768e-02	1.07269e-03	3.85325	0.05251	4.53990e-05
5.69048e+03	2.07734e-02	1.11431e-03	4.35506	6.22947	4.53990e-05
