# t [t_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
6.19141e+03	2.83464e-02	6.36277e-04	2.11080	2.70161	1.26440e-05
6.21144e+03	2.83472e-02	5.40217e-04	3.03432	1.92299	1.26440e-05
6.23148e+03	2.83427e-02	6.08289e-04	4.22522	5.05944	1.26440e-05
6.25152e+03	2.83591e-02	8.00445e-04	6.16740	5.37907	1.26440e-05
6.27155e+03	2.83484e-02	6.92752e-04	3.89993	1.51441	1.26440e-05
6.29159e+03	2.83490e-02	5.67115e-04	1.34824	2.16461	1.26440e-05
6.31163e+03	2.83551e-02	9.09318e-04	0.17808	5.61143	1.26440e-05
6.33166e+03	2.83565e-02	8.54100e-04	0.68215	5.31284	1.26440e-05
6.35170e+03	2.83609e-02	1.01369e-03	0.59790	3.56322	1.26440e-05
6.37174e+03	2.83418e-02	7.71358e-04	2.75322	3.76449	1.26440e-05
6.39178e+03	2.83565e-02	8.14174e-04	5.71200	1.11793	1.26440e-05
6.41181e+03	2.83518e-02	5.20606e-04	2.13263	2.93022	1.26440e-05
6.43185e+03	2.83600e-02	9.17316e-04	0.01984	1.24509	1.26440e-05
6.45188e+03	2.83486e-02	6.45333e-04	5.00807	3.00802	1.26440e-05
6.47192e+03	2.83528e-02	5.98027e-04	3.95363	2.46747	1.26440e-05
6.49196e+03	2.83503e-02	5.81362e-04	4.35930	4.73510	1.26440e-05
6.51200e+03	2.83566e-02	6.17336e-04	5.21108	4.48775	1.26440e-05
6.53203e+03	2.83580e-02	5.43586e-04	5.82643	2.47083	1.26440e-05
6.55207e+03	2.83669e-02	8.47590e-04	1.16195	3.74235	1.26440e-05
