# aeq_b	eeq_b	aeq_c	eeq_c	aeq_d	eeq_d	aeq_e	eeq_e
1.13798e-03	8.43054e-06	1.74567e-03	1.07467e-05	3.21534e-03	7.07605e-06	1.20263e+00	2.57074e-07
1.09614e-03	8.04490e-06	1.68150e-03	1.02552e-05	3.09715e-03	6.75244e-06	1.22100e+00	2.42110e-07
1.05583e-03	7.67677e-06	1.61966e-03	9.78572e-06	2.98326e-03	6.44332e-06	1.23917e+00	2.28032e-07
1.01701e-03	7.32554e-06	1.56011e-03	9.33807e-06	2.87359e-03	6.14854e-06	1.25713e+00	2.14795e-07
9.79594e-04	6.99034e-06	1.50271e-03	8.91049e-06	2.76788e-03	5.86692e-06	1.27489e+00	2.02341e-07
9.43559e-04	6.67015e-06	1.44744e-03	8.50277e-06	2.66607e-03	5.59832e-06	1.29244e+00	1.90625e-07
9.08823e-04	6.36477e-06	1.39415e-03	8.11315e-06	2.56793e-03	5.34232e-06	1.30980e+00	1.79595e-07
8.75381e-04	6.07317e-06	1.34285e-03	7.74173e-06	2.47345e-03	5.09728e-06	1.32694e+00	1.69223e-07
8.43148e-04	5.79490e-06	1.29341e-03	7.38709e-06	2.38238e-03	4.86391e-06	1.34388e+00	1.59455e-07
8.12095e-04	5.52948e-06	1.24577e-03	7.04841e-06	2.29464e-03	4.64127e-06	1.36061e+00	1.50262e-07
7.82201e-04	5.27628e-06	1.19991e-03	6.72552e-06	2.21018e-03	4.42862e-06	1.37713e+00	1.41614e-07
7.53392e-04	5.03424e-06	1.15572e-03	6.41741e-06	2.12878e-03	4.22526e-06	1.39344e+00	1.33468e-07
7.25626e-04	4.80374e-06	1.11313e-03	6.12308e-06	2.05033e-03	4.03204e-06	1.40956e+00	1.25795e-07
6.98893e-04	4.58305e-06	1.07212e-03	5.84220e-06	1.97480e-03	3.84751e-06	1.42546e+00	1.18575e-07
6.73154e-04	4.37330e-06	1.03264e-03	5.57457e-06	1.90208e-03	3.67056e-06	1.44114e+00	1.11779e-07
6.48335e-04	4.17280e-06	9.94563e-04	5.31900e-06	1.83195e-03	3.50274e-06	1.45663e+00	1.05372e-07
6.24417e-04	3.98125e-06	9.57873e-04	5.07439e-06	1.76437e-03	3.34237e-06	1.47193e+00	9.93355e-08
6.01441e-04	3.79890e-06	9.22627e-04	4.84241e-06	1.69945e-03	3.18937e-06	1.48698e+00	9.36647e-08
5.79227e-04	3.62469e-06	8.88551e-04	4.61964e-06	1.63668e-03	3.04253e-06	1.50188e+00	8.83032e-08
5.57888e-04	3.45818e-06	8.55817e-04	4.40800e-06	1.57639e-03	2.90232e-06	1.51654e+00	8.32662e-08
5.37299e-04	3.29899e-06	8.24232e-04	4.20558e-06	1.51821e-03	2.76960e-06	1.53101e+00	7.85127e-08
5.17479e-04	3.14807e-06	7.93828e-04	4.01267e-06	1.46221e-03	2.64192e-06	1.54528e+00	7.40366e-08
4.98375e-04	3.00327e-06	7.64522e-04	3.82779e-06	1.40823e-03	2.52106e-06	1.55936e+00	6.98158e-08
4.80043e-04	2.86570e-06	7.36401e-04	3.65330e-06	1.35643e-03	2.40543e-06	1.57319e+00	6.58542e-08
4.62254e-04	2.73330e-06	7.09112e-04	3.48507e-06	1.30617e-03	2.29333e-06	1.58693e+00	6.20927e-08
4.45173e-04	2.60744e-06	6.82909e-04	3.32423e-06	1.25790e-03	2.18977e-06	1.60042e+00	5.85587e-08
4.28805e-04	2.48833e-06	6.57800e-04	3.17245e-06	1.21166e-03	2.08848e-06	1.61366e+00	5.52452e-08
4.12942e-04	2.37456e-06	6.33466e-04	3.02600e-06	1.16683e-03	1.99309e-06	1.62678e+00	5.21025e-08
3.97743e-04	2.26552e-06	6.10151e-04	2.88759e-06	1.12389e-03	1.90012e-06	1.63964e+00	4.91556e-08
